kode dapil;jenis dapil;nama dapil;kode wilayah;tingkatan wilayah;nama;is_pecah
3506;DPR RI;JAWA TIMUR VI;3572;Kabupaten/Kota;KOTA BLITAR;FALSE
3507;DPR RI;JAWA TIMUR VII;3501;Kabupaten/Kota;PACITAN;FALSE
3507;DPR RI;JAWA TIMUR VII;3502;Kabupaten/Kota;PONOROGO;FALSE
3507;DPR RI;JAWA TIMUR VII;3503;Kabupaten/Kota;TRENGGALEK;FALSE
3507;DPR RI;JAWA TIMUR VII;3520;Kabupaten/Kota;MAGETAN;FALSE
3507;DPR RI;JAWA TIMUR VII;3521;Kabupaten/Kota;NGAWI;FALSE
3508;DPR RI;JAWA TIMUR VIII;3516;Kabupaten/Kota;MOJOKERTO;FALSE
3508;DPR RI;JAWA TIMUR VIII;3517;Kabupaten/Kota;JOMBANG;FALSE
3508;DPR RI;JAWA TIMUR VIII;3518;Kabupaten/Kota;NGANJUK;FALSE
3508;DPR RI;JAWA TIMUR VIII;3519;Kabupaten/Kota;MADIUN;FALSE
3508;DPR RI;JAWA TIMUR VIII;3576;Kabupaten/Kota;KOTA MOJOKERTO;FALSE
3508;DPR RI;JAWA TIMUR VIII;3577;Kabupaten/Kota;KOTA MADIUN;FALSE
3509;DPR RI;JAWA TIMUR IX;3522;Kabupaten/Kota;BOJONEGORO;FALSE
3509;DPR RI;JAWA TIMUR IX;3523;Kabupaten/Kota;TUBAN;FALSE
3510;DPR RI;JAWA TIMUR X;3524;Kabupaten/Kota;LAMONGAN;FALSE
3510;DPR RI;JAWA TIMUR X;3525;Kabupaten/Kota;GRESIK;FALSE
3511;DPR RI;JAWA TIMUR XI;3526;Kabupaten/Kota;BANGKALAN;FALSE
3511;DPR RI;JAWA TIMUR XI;3527;Kabupaten/Kota;SAMPANG;FALSE
3511;DPR RI;JAWA TIMUR XI;3528;Kabupaten/Kota;PAMEKASAN;FALSE
3511;DPR RI;JAWA TIMUR XI;3529;Kabupaten/Kota;SUMENEP;FALSE
3601;DPR RI;BANTEN I;3601;Kabupaten/Kota;PANDEGLANG;FALSE
3601;DPR RI;BANTEN I;3602;Kabupaten/Kota;LEBAK;FALSE
3602;DPR RI;BANTEN II;3604;Kabupaten/Kota;SERANG;FALSE
3602;DPR RI;BANTEN II;3672;Kabupaten/Kota;KOTA CILEGON;FALSE
3602;DPR RI;BANTEN II;3673;Kabupaten/Kota;KOTA SERANG;FALSE
3603;DPR RI;BANTEN III;3603;Kabupaten/Kota;TANGERANG;FALSE
3603;DPR RI;BANTEN III;3671;Kabupaten/Kota;KOTA TANGERANG;FALSE
3603;DPR RI;BANTEN III;3674;Kabupaten/Kota;KOTA TANGERANG SELATAN;FALSE
5101;DPR RI;BALI I;5101;Kabupaten/Kota;JEMBRANA;FALSE
5101;DPR RI;BALI I;5102;Kabupaten/Kota;TABANAN;FALSE
5101;DPR RI;BALI I;5103;Kabupaten/Kota;BADUNG;FALSE
5101;DPR RI;BALI I;5104;Kabupaten/Kota;GIANYAR;FALSE
5101;DPR RI;BALI I;5105;Kabupaten/Kota;KLUNGKUNG;FALSE
5101;DPR RI;BALI I;5106;Kabupaten/Kota;BANGLI;FALSE
5101;DPR RI;BALI I;5107;Kabupaten/Kota;KARANGASEM;FALSE
5101;DPR RI;BALI I;5108;Kabupaten/Kota;BULELENG;FALSE
5101;DPR RI;BALI I;5171;Kabupaten/Kota;KOTA DENPASAR;FALSE
5201;DPR RI;NUSA TENGGARA BARAT I;5204;Kabupaten/Kota;SUMBAWA;FALSE
5201;DPR RI;NUSA TENGGARA BARAT I;5205;Kabupaten/Kota;DOMPU;FALSE
